Id,SalePrice
1,174125.298115689
2,136649.163066577
3,221054.165123802
4,166592.224686737
5,258795.480956093
6,182564.861462515
7,184619.942280586
8,179693.273908409
9,131906.820067002
10,208696.307385315
11,146873.717847731
12,116761.165273005
13,176217.911717154
14,163046.273543366
15,123810.939386787
16,168246.237623293
17,280898.560330521
18,219168.334656638
19,189965.759164767
20,193253.370537607
21,200637.275729368
22,182386.261818369
23,141277.826991084
24,138108.820466931
25,124133.205927627
26,274707.510049739
27,166710.027938074
28,146640.254783393
29,192306.178363078
30,206632.694739147
31,224694.086547676
32,122565.392272502
33,160827.101568014
34,148149.081175588
35,169939.795620598
36,188013.300569227
37,164099.119563933
38,181369.866673386
39,178979.310604372
40,162865.704660337
41,238238.283278151
42,111955.406959067
43,210329.573271877
44,233811.602771855
45,169375.597339101
46,224871.377332025
47,188775.455277259
48,163456.705926335
49,181148.049351716
50,161266.2097551
51,150784.657516832
52,180325.669721948
53,208524.698257709
54,123119.63772692
55,229068.111904659
56,124459.385849311
57,201965.511899869
58,176890.764684806
59,223965.359719394
60,131258.528934006
61,199430.782114048
62,154859.327736997
63,207365.667629598
64,142023.127689247
65,168021.919289246
66,225921.409685652
67,92571.6874730254
68,187445.048638629
69,152053.69237772
70,168529.850644036
71,126350.501343179
72,104500.705245221
73,166443.665119398
74,157031.385835953
75,163659.565802229
76,193594.460707621
77,212459.495656236
78,160756.644351118
79,163529.696349267
80,162810.826600493
81,200032.979740972
82,199763.809558937
83,208770.315626845
84,174893.286064883
85,185893.33699211
86,195345.241863108
87,174330.800086163
88,197607.185270085
89,122680.967803437
90,219984.344322593
91,67867.1316473924
92,174148.144085988
93,196203.922634454
94,197802.362480548
95,162018.005436441
96,170221.598211534
97,179937.016437189
98,166430.739703061
99,136516.347709504
100,194368.120283347
101,184119.150568241
102,149867.760130669
103,182684.978385931
104,151009.199039191
105,184604.274814419
106,222953.520988102
107,190030.596602988
108,185617.325499659
109,188498.192934254
110,217327.599528676
111,203785.012658126
112,154607.348779719
113,187179.44056068
114,186008.396908551
115,155131.124398774
116,159373.852291477
117,188006.447679229
118,216096.573230651
119,177808.628307748
120,113267.19501528
121,305773.320464216
122,161804.745420113
123,179371.52433542
124,165348.717847474
125,173042.631561003
126,170833.728746767
127,196180.470404093
128,174262.431427664
129,240665.877101306
130,116300.066613991
131,211495.557616493
132,241062.70147047
133,173038.899239007
134,183725.057682488
135,186623.387842269
136,133402.323412383
137,112082.537736603
138,209773.040697621
139,207738.140637187
140,198183.149791267
141,198036.484587303
142,195565.608150328
143,153699.222812016
144,185896.216499924
145,232111.058106192
146,172788.260237955
147,168401.934255184
148,212260.430057702
149,219801.431619855
150,176803.940036251
151,175867.87192944
152,152698.548985426
153,111124.636984703
154,187517.912499238
155,204988.964634601
156,301856.680585807
157,196223.657691365
158,152879.881480726
159,168458.632392615
160,144504.251314421
161,146965.353320895
162,196772.497879417
163,148204.494526113
164,191955.995607349
165,183233.021726144
166,239973.762307245
167,151763.435309308
168,208422.078184309
169,148741.892228341
170,142530.169061394
171,184134.005189293
172,179465.300104144
173,183169.660375532
174,155670.384943854
175,193921.489118315
176,266093.387821465
177,140697.276022968
178,187656.84741884
179,186769.876799043
180,169642.023253089
181,149818.989766926
182,138202.266372541
183,205874.916559079
184,181214.503401577
185,166339.398723555
186,170958.403824314
187,147703.10543589
188,163903.196270031
189,168538.03123101
190,165179.271200104
191,113920.0138669
192,173945.52781155
193,260346.672747405
194,134564.996736782
195,203606.673655119
196,136210.485781247
197,170590.270186987
198,143670.920649526
199,173524.899120409
200,176025.363602791
201,173200.090829921
202,151754.754690471
203,206247.040870933
204,193282.324291664
205,205196.666862258
206,137964.708964381
207,171180.20039693
208,144891.956666389
209,111384.899602889
210,150935.063376979
211,219711.607684461
212,165688.73251127
213,191213.86783491
214,121393.497432248
215,182196.825274117
216,203077.572305494
217,156886.094174384
218,232855.467829272
219,140787.405062972
220,178441.478529397
221,205754.560181431
222,149682.213979077
223,208140.109867156
224,165293.134407706
225,135661.659929411
226,192623.627032037
227,214548.315423697
228,196523.115106357
229,141036.905674947
230,176545.132640506
231,126258.544201829
232,164203.585993949
233,142906.784718895
234,122059.426666529
235,127309.568511259
236,126530.261956922
237,229631.38537749
238,122130.176684008
239,116015.117768044
240,172066.154313634
241,250452.201488397
242,198740.903054053
243,157578.217656507
244,175486.714262609
245,161597.687962147
246,143775.726356441
247,177467.095829788
248,125055.073609298
249,245248.641039729
250,142538.319682445
251,158088.948502319
252,205044.336898518
253,171375.002684524
254,214345.421140081
255,172013.568835612
256,133009.01178709
257,176447.550847128
258,135446.962469408
259,310419.292965909
260,115772.558068639
261,158897.913523522
262,192259.033022385
263,120529.179979024
264,125039.061682798
265,159306.624964044
266,185724.490886799
267,150009.8225817
268,92068.1637048968
269,131174.786935866
270,167839.707696807
271,189503.767904692
272,143927.862904362
273,161652.08560026
274,161625.67823369
275,175076.138443995
276,93822.2251971334
277,233981.262913224
278,195606.904738819
279,117295.431089116
280,186603.565104455
281,167537.126607553
282,244024.327518886
283,115895.612662926
284,263136.18829594
285,173218.904342636
286,198589.232892946
287,217080.455669807
288,172039.473159927
289,165576.211404725
290,131409.799828527
291,190271.914065876
292,175690.330570877
293,162496.727366269
294,154266.972026199
295,164016.099580211
296,136734.254555988
297,151726.809992061
298,117254.022506098
299,253560.460229382
300,132362.42893478
301,189626.856509778
302,130058.185732151
303,194892.872982664
304,190118.980683369
305,131011.394431517
306,221112.178866844
307,142605.739535748
308,197724.459060729
309,113333.878310975
310,222233.5547703
311,157738.566510608
312,140188.13823777
313,191050.200990305
314,155425.46245477
315,115649.701506819
316,130827.191574683
317,200205.51389933
318,186356.600489872
319,178966.583771327
320,164743.843442544
321,207696.814304986
322,127745.358316636
323,124662.566058066
324,248257.108569587
325,125028.411775078
326,199913.87443605
327,152461.28962209
328,165551.121385252
329,225361.27994338
330,194745.564168188
331,189454.31988601
332,180137.606199967
333,125075.940970034
334,125312.821809636
335,135497.216557891
336,167295.231910524
337,186323.411886731
338,137579.035258291
339,193024.332417681
340,86343.6898346241
341,165361.02223068
342,212578.621814132
343,101882.024740395
344,212976.241932195
345,202716.524828226
346,184224.91782606
347,104066.701597251
348,141690.792775236
349,127654.994201831
350,155524.801834559
351,188938.798660181
352,128741.248213251
353,134330.485133456
354,156902.793217222
355,170929.435999223
356,170081.842134409
357,118617.763600603
358,184369.190717017
359,224441.340296533
360,151509.282706165
361,141206.96469136
362,125838.234135078
363,169353.770223105
364,142827.615612231
365,184126.993866122
366,165542.861491588
367,118606.084412062
368,207300.327704503
369,175248.940301047
370,180098.644596661
371,169592.668172095
372,227966.447495955
373,184104.970420897
374,184637.536678664
375,196015.841247049
376,192243.962539728
377,158390.009549175
378,152241.806039952
